,DateTime,CoolantFlow,ProgramStatus,ProgramDetail,ToolNumber,PocketTable,DriveStatus,DoorStatusMain,DoorStatusTooling,CabinDoorLockFront,CabinDoorLockSide,DNCMode,SpindleCleaning,ChipCleaningGunStatus,OverrideSpindle,OverrideFeed,FeedRate,SpindleSpeed,SpindleApproval,RapidTraverseKey,PowerConsumption,IndoorGPSx,IndoorGPSy,Phase,Phase_compressed,Production
0,2021-11-26 07:15:36,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2266.89,-0.262,0.886,20,4,0
1,2021-11-26 07:15:38,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2271.58,-0.251,0.84,20,4,0
2,2021-11-26 07:15:40,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2268.06,-0.234,0.724,20,4,0
6358,2021-11-26 07:15:41,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2273.13,-0.231,0.741,20,4,0
3,2021-11-26 07:15:42,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3100.0,1999.0,0.0,0.0,2161.17,-0.207,0.73,20,4,0
4,2021-11-26 07:15:44,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2122.94,-0.204,0.731,20,4,0
6594,2021-11-26 07:15:46,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2106.56,-0.2,0.736,20,4,0
5,2021-11-26 07:15:47,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3326.6666666666665,1999.0,0.0,0.0,2101.87,-0.11,0.794,20,4,0
6,2021-11-26 07:15:48,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2112.41,-0.232,0.747,20,4,0
7,2021-11-26 07:15:50,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2114.75,-0.252,0.809,20,4,0
6058,2021-11-26 07:15:53,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2428.4,-0.168,0.752,20,4,0
8,2021-11-26 07:15:54,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2426.45,-0.209,0.765,20,4,0
9,2021-11-26 07:15:55,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2430.73,-0.229,0.771,20,4,0
10,2021-11-26 07:15:56,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2429.95,-0.253,0.762,20,4,0
11,2021-11-26 07:15:58,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2410.06,-0.261,0.767,20,4,0
12,2021-11-26 07:16:00,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2616.82,-0.188,0.898,20,4,0
13,2021-11-26 07:16:03,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2104.22,-0.285,0.844,20,4,0
14,2021-11-26 07:16:07,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2103.05,-0.218,0.74,20,4,0
15,2021-11-26 07:16:08,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2114.36,-0.191,0.726,20,4,0
16,2021-11-26 07:16:11,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2187.69,-0.179,0.718,20,4,0
6595,2021-11-26 07:16:13,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2263.38,-0.176,0.725,20,4,0
17,2021-11-26 07:16:14,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2249.33,-0.158,0.735,20,4,0
18,2021-11-26 07:16:16,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2276.26,-0.182,0.742,20,4,0
19,2021-11-26 07:16:19,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,1672.0,1999.0,0.0,0.0,2118.26,-0.25,0.769,20,4,0
20,2021-11-26 07:16:21,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2095.64,-0.237,0.765,20,4,0
21,2021-11-26 07:16:22,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2103.43,-0.242,0.754,20,4,0
22,2021-11-26 07:16:24,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2148.68,-0.236,0.755,20,4,0
23,2021-11-26 07:16:27,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2131.13,-0.256,0.796,20,4,0
24,2021-11-26 07:16:28,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2266.11,-0.235,0.763,20,4,0
25,2021-11-26 07:16:30,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2415.91,-0.204,0.748,20,4,0
26,2021-11-26 07:16:32,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,1999.0,0.0,0.0,2415.53,-0.217,0.745,20,4,0
27,2021-11-26 07:16:34,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,43.0,3440.0,2000.0,0.0,0.0,2423.71,-0.265,0.8,20,4,0
